"Marital status","Application mode","Application order","Course","Daytime/evening attendance","Previous qualification","Previous qualification grade","Nationality","Mother's qualification","Father's qualification","Admission grade","Displaced","Educational special needs","Debtor","Gender","Scholarship holder","Age at enrollment","International","Semester 1 enrolled units","Semester 1 approved units","Semester 1 grade","Semester 2 enrolled units","Semester 2 approved units","Semester 2 grade","Unemployment rate","Inflation rate","GDP","Target"
"single","General contingent","2nd choice","Equinculture","daytime","qualified",161,"Portuguese","Secondary education and above","Basic education",152.3,"no","no","no","Female","no",18,"no",6,6,15.5714285714286,6,6,14.7142857142857,0.111,0.006,0.0202,"Graduate"
"not single","Over 23 years old","2nd choice","Social Service (evening attendance)","evening","underqualified",133.1,"Portuguese","Basic education","Basic education",112.5,"no","no","no","Female","no",32,"no",6,5,13.8,6,6,12.1666666666667,0.094,-0.008,-0.0312,"Graduate"
"not single","Over 23 years old","not 2nd choice","Management","daytime","qualified",150,"Portuguese","Basic education","Basic education",101,"no","no","yes","Female","no",29,"no",5,3,10.6666666666667,5,2,14.8,0.108,0.014,0.0174,"Dropout"
"single","General contingent","not 2nd choice","Social Service","daytime","qualified",113,"Portuguese","Secondary education and above","Basic education",112.3,"yes","no","yes","Female","yes",20,"no",6,5,11.6,6,4,11.75,0.089,0.014,0.0351,"Graduate"
"single","Over 23 years old","2nd choice","Social Service","daytime","qualified",140,"Portuguese","Other","Other",114,"yes","no","no","Female","no",28,"no",6,1,13,6,0,0,0.094,-0.008,-0.0312,"Dropout"
"single","Other","2nd choice","Management","daytime","overqualified",130,"Portuguese","Basic education","Basic education",130,"no","no","no","Female","no",27,"no",5,3,12,5,4,13.625,0.108,0.014,0.0174,"Graduate"
"single","Other","not 2nd choice","Nursing","daytime","qualified",120,"Portuguese","Basic education","Other",121.5,"no","no","yes","Female","no",22,"no",14,12,12.3333333333333,14,12,12.3333333333333,0.076,0.026,0.0032,"Graduate"
"not single","Over 23 years old","2nd choice","Agronomy","daytime","underqualified",133.1,"Portuguese","Basic education","Basic education",120,"no","no","yes","Female","no",37,"no",6,6,12.875,6,6,12.9,0.162,0.003,-0.0092,"Enrolled"
"single","Other","2nd choice","Social Service (evening attendance)","evening","overqualified",130,"Portuguese","Basic education","Basic education",130,"no","no","no","Female","no",28,"no",6,1,11,6,0,0,0.127,0.037,-0.017,"Dropout"
"not single","Over 23 years old","2nd choice","Agronomy","daytime","qualified",120,"Portuguese","Basic education","Basic education",125.7,"no","no","yes","Female","no",43,"no",6,4,12.25,6,4,10.5,0.089,0.014,0.0351,"Dropout"
"single","Other","2nd choice","Oral Hygiene","daytime","qualified",140,"Portuguese","Basic education","Basic education",128,"yes","no","no","Female","no",32,"no",7,0,0,8,0,0,0.108,0.014,0.0174,"Dropout"
"single","General contingent","2nd choice","Social Service","daytime","qualified",123,"Portuguese","Secondary education and above","Secondary education and above",113.2,"no","no","no","Female","yes",20,"no",6,4,10.75,6,5,11.5,0.155,0.028,-0.0406,"Enrolled"
"not single","Over 23 years old","2nd choice","Nursing","daytime","underqualified",133.1,"Portuguese","Basic education","Secondary education and above",120,"no","no","no","Female","yes",35,"no",8,8,13.63,8,8,13.63,0.094,-0.008,-0.0312,"Graduate"
"single","General contingent","2nd choice","Advertising and Marketing Management","daytime","qualified",130,"Portuguese","Basic education","Basic education",117.8,"yes","no","no","Female","no",21,"no",5,3,13,5,4,11.5,0.076,0.026,0.0032,"Graduate"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",126,"Portuguese","Basic education","Basic education",121.3,"yes","no","no","Female","yes",18,"no",7,6,13.5333333333333,7,7,12.2285714285714,0.124,0.005,0.0179,"Enrolled"
"single","General contingent","2nd choice","Nursing","daytime","qualified",176,"Portuguese","Secondary education and above","Basic education",169.7,"no","no","no","Female","yes",18,"no",7,7,16.9,8,8,16.3777777777778,0.162,0.003,-0.0092,"Graduate"
"single","General contingent","not 2nd choice","Social Service","daytime","qualified",124,"Portuguese","Basic education","Basic education",117.7,"yes","no","no","Female","no",18,"no",6,5,12,6,4,12,0.162,0.003,-0.0092,"Graduate"
"single","Other","2nd choice","Social Service (evening attendance)","evening","overqualified",120,"Portuguese","Basic education","Basic education",121.8,"yes","no","no","Female","no",22,"no",6,6,12.5,6,6,13.2857142857143,0.124,0.005,0.0179,"Graduate"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",140,"Portuguese","Secondary education and above","Secondary education and above",128.3,"yes","no","no","Female","no",19,"no",8,7,12.7642857142857,8,7,12.7642857142857,0.108,0.014,0.0174,"Graduate"
"single","General contingent","not 2nd choice","Management","daytime","qualified",143,"Portuguese","Basic education","Basic education",132.2,"yes","no","no","Female","yes",18,"no",5,5,13.75,5,5,12.1666666666667,0.139,-0.003,0.0079,"Graduate"
"single","General contingent","not 2nd choice","Animation and Multimedia Design","daytime","qualified",136,"Portuguese","Secondary education and above","Secondary education and above",134.3,"yes","no","yes","Female","no",19,"no",0,0,0,0,0,0,0.124,0.005,0.0179,"Dropout"
"single","General contingent","2nd choice","Nursing","daytime","qualified",132,"Portuguese","Basic education","Secondary education and above",123.4,"no","no","no","Female","yes",18,"no",7,7,14.6042857142857,8,8,15.6833333333333,0.111,0.006,0.0202,"Graduate"
"not single","Over 23 years old","2nd choice","Management (evening attendance)","evening","underqualified",133.1,"Portuguese","Basic education","Secondary education and above",121.7,"no","no","yes","Female","no",31,"no",5,0,0,5,0,0,0.162,0.003,-0.0092,"Dropout"
"not single","Over 23 years old","2nd choice","Social Service (evening attendance)","evening","underqualified",100,"Portuguese","Secondary education and above","Basic education",130,"no","no","yes","Female","yes",33,"no",6,5,13.8333333333333,6,6,12.5,0.094,-0.008,-0.0312,"Graduate"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",137,"Portuguese","Basic education","Basic education",126.5,"yes","no","no","Female","yes",19,"no",8,8,13.57625,8,8,13.57625,0.094,-0.008,-0.0312,"Graduate"
"single","General contingent","2nd choice","Social Service","daytime","qualified",153,"Portuguese","Basic education","Basic education",159.7,"yes","no","no","Female","yes",18,"no",6,6,15.1428571428571,6,6,15.8333333333333,0.127,0.037,-0.017,"Graduate"
"single","General contingent","2nd choice","Management","daytime","qualified",160,"Portuguese","Other","Basic education",151.3,"no","no","no","Female","no",23,"no",5,3,10.6666666666667,5,5,11.6,0.076,0.026,0.0032,"Graduate"
"single","General contingent","2nd choice","Social Service","daytime","qualified",145,"Portuguese","Basic education","Basic education",138,"yes","no","no","Female","no",20,"no",6,5,11.2,6,6,12,0.094,-0.008,-0.0312,"Graduate"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",137,"Portuguese","Basic education","Basic education",126.5,"yes","no","no","Female","no",18,"no",8,8,13.76375,8,8,13.76375,0.094,-0.008,-0.0312,"Graduate"
"single","Other","2nd choice","Veterinary Nursing","daytime","overqualified",140,"Portuguese","Secondary education and above","Secondary education and above",140,"yes","no","yes","Female","no",21,"no",9,8,13.25,9,5,12.2,0.089,0.014,0.0351,"Enrolled"
"single","General contingent","2nd choice","Social Service","daytime","qualified",120,"Portuguese","Basic education","Basic education",112.3,"no","no","no","Female","yes",22,"no",6,5,10.7142857142857,6,5,12.2,0.127,0.037,-0.017,"Graduate"
"single","General contingent","2nd choice","Social Service","daytime","qualified",122,"Portuguese","Secondary education and above","Basic education",127.3,"yes","no","yes","Female","no",20,"no",6,6,12.1666666666667,6,6,11.6666666666667,0.094,-0.008,-0.0312,"Graduate"
"single","Other","2nd choice","Nursing","daytime","overqualified",130,"Portuguese","Basic education","Basic education",130,"yes","no","no","Female","no",23,"no",7,6,14.3571428571429,7,6,14.3571428571429,0.076,0.026,0.0032,"Graduate"
"single","General contingent","not 2nd choice","Journalism and Communication","daytime","qualified",133.1,"Portuguese","Secondary education and above","Secondary education and above",115,"yes","no","no","Female","no",19,"no",6,6,12.8333333333333,6,6,12.6666666666667,0.162,0.003,-0.0092,"Graduate"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",150,"Portuguese","Secondary education and above","Basic education",131.5,"yes","no","no","Female","no",19,"no",8,7,13.9257142857143,8,7,13.9257142857143,0.108,0.014,0.0174,"Graduate"
"single","Over 23 years old","2nd choice","Management (evening attendance)","evening","qualified",133.1,"Portuguese","Basic education","Basic education",125.7,"no","no","no","Female","no",26,"no",5,2,12,5,3,11,0.108,0.014,0.0174,"Dropout"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",141,"Portuguese","Secondary education and above","Basic education",126.8,"yes","no","no","Female","no",18,"no",7,7,13.4428571428571,8,8,13.7444444444444,0.162,0.003,-0.0092,"Graduate"
"single","General contingent","2nd choice","Informatics Engineering","daytime","qualified",146,"Portuguese","Secondary education and above","Basic education",132.4,"yes","no","no","Male","no",18,"no",5,1,16,5,0,0,0.094,-0.008,-0.0312,"Dropout"
"single","Other","2nd choice","Agronomy","daytime","overqualified",150,"Portuguese","Basic education","Basic education",150,"yes","no","no","Male","no",20,"no",6,6,13.125,6,6,13.2,0.162,0.003,-0.0092,"Graduate"
"single","General contingent","2nd choice","Advertising and Marketing Management","daytime","qualified",133.1,"Portuguese","Secondary education and above","Secondary education and above",95,"no","no","no","Male","no",19,"no",6,0,0,6,0,0,0.155,0.028,-0.0406,"Dropout"
"single","Other","2nd choice","Management (evening attendance)","evening","qualified",120,"Portuguese","Basic education","Basic education",128.2,"no","no","no","Male","no",32,"no",9,5,11.4,4,4,11,0.108,0.014,0.0174,"Dropout"
"not single","Over 23 years old","2nd choice","Equinculture","daytime","qualified",150,"Portuguese","Basic education","Basic education",130,"no","no","no","Male","no",31,"no",4,2,11,5,3,11.6666666666667,0.094,-0.008,-0.0312,"Dropout"
"single","Over 23 years old","2nd choice","Informatics Engineering","daytime","underqualified",133.1,"Portuguese","Secondary education and above","Basic education",100,"no","no","no","Male","no",25,"no",5,1,11,5,1,10,0.139,-0.003,0.0079,"Enrolled"
"single","Other","2nd choice","Veterinary Nursing","daytime","overqualified",140,"Portuguese","Basic education","Secondary education and above",159.9,"yes","no","no","Female","no",21,"no",6,5,13.6666666666667,6,5,13,0.162,0.003,-0.0092,"Graduate"
"not single","Other","2nd choice","Management (evening attendance)","evening","qualified",140,"Portuguese","Basic education","Basic education",100,"no","no","no","Female","no",31,"no",6,4,11.75,5,1,10,0.127,0.037,-0.017,"Dropout"
"not single","Over 23 years old","2nd choice","Basic Education","daytime","qualified",133.1,"Portuguese","Basic education","Basic education",116.5,"no","no","no","Female","no",34,"no",7,1,10,7,1,13,0.162,0.003,-0.0092,"Dropout"
"single","General contingent","2nd choice","Social Service","daytime","qualified",128,"Portuguese","Basic education","Basic education",120,"no","no","no","Female","yes",18,"no",6,6,13.5,6,6,12.8333333333333,0.111,0.006,0.0202,"Graduate"
"single","General contingent","not 2nd choice","Social Service","daytime","qualified",117,"Portuguese","Basic education","Basic education",117,"yes","no","yes","Female","no",19,"no",6,0,0,6,0,0,0.124,0.005,0.0179,"Dropout"
"single","Other","2nd choice","Advertising and Marketing Management","daytime","overqualified",140,"Portuguese","Basic education","Basic education",140,"yes","no","yes","Female","no",21,"no",6,1,12,6,1,11,0.089,0.014,0.0351,"Enrolled"
"single","General contingent","not 2nd choice","Basic Education","daytime","qualified",124,"Portuguese","Basic education","Basic education",118.1,"yes","no","no","Female","no",18,"no",6,3,13,6,5,11.8,0.094,-0.008,-0.0312,"Dropout"
"single","General contingent","2nd choice","Tourism","daytime","qualified",158,"Portuguese","Basic education","Secondary education and above",153.5,"yes","no","no","Female","no",20,"no",6,6,14.8333333333333,6,6,16,0.111,0.006,0.0202,"Graduate"
"single","Other","2nd choice","Journalism and Communication","daytime","qualified",137,"Portuguese","Basic education","Basic education",127.9,"yes","no","no","Female","no",20,"no",6,6,11.8333333333333,6,6,12.8571428571429,0.155,0.028,-0.0406,"Graduate"
"single","General contingent","not 2nd choice","Advertising and Marketing Management","daytime","qualified",123,"Portuguese","Basic education","Basic education",118.8,"yes","yes","no","Female","yes",18,"no",6,5,12,6,5,12.3333333333333,0.111,0.006,0.0202,"Graduate"
"single","General contingent","2nd choice","Social Service","daytime","qualified",126,"Portuguese","Basic education","Basic education",126.7,"yes","no","no","Female","no",19,"no",6,4,12.75,6,6,11.3333333333333,0.076,0.026,0.0032,"Graduate"
"single","Other","2nd choice","Veterinary Nursing","daytime","qualified",170,"Portuguese","Basic education","Basic education",170,"yes","no","no","Female","no",19,"no",5,0,0,5,4,14.75,0.127,0.037,-0.017,"Enrolled"
"not single","Over 23 years old","2nd choice","Equinculture","daytime","qualified",133.1,"Portuguese","Secondary education and above","Secondary education and above",110,"yes","no","no","Female","yes",30,"no",6,0,0,6,1,10,0.111,0.006,0.0202,"Dropout"
"single","General contingent","2nd choice","Social Service","daytime","qualified",115,"Portuguese","Basic education","Basic education",115,"yes","no","no","Female","no",19,"no",6,6,12,6,6,12.8571428571429,0.111,0.006,0.0202,"Graduate"
"single","General contingent","not 2nd choice","Oral Hygiene","daytime","qualified",132,"Portuguese","Basic education","Basic education",119,"yes","no","no","Female","no",19,"no",7,7,11.6777777777778,8,8,13.8,0.127,0.037,-0.017,"Graduate"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",132,"Portuguese","Secondary education and above","Basic education",121.8,"yes","no","no","Female","yes",19,"no",8,7,13.6,8,7,13.6,0.127,0.037,-0.017,"Graduate"
"single","General contingent","2nd choice","Veterinary Nursing","daytime","qualified",143,"Portuguese","Basic education","Basic education",133.4,"yes","no","no","Female","no",19,"no",6,6,16,6,6,15.875,0.124,0.005,0.0179,"Graduate"
"single","General contingent","not 2nd choice","Social Service","daytime","qualified",137,"Portuguese","Secondary education and above","Secondary education and above",131.4,"yes","no","no","Female","no",20,"no",6,5,11.8,6,6,11.5,0.076,0.026,0.0032,"Graduate"
"single","Other","2nd choice","Informatics Engineering","daytime","qualified",130,"Portuguese","Basic education","Basic education",135,"no","no","yes","Male","no",25,"no",5,0,0,6,2,14,0.139,-0.003,0.0079,"Dropout"
"single","General contingent","not 2nd choice","Journalism and Communication","daytime","qualified",121,"Portuguese","Basic education","Basic education",122.8,"no","no","no","Male","no",19,"no",6,0,0,6,0,0,0.124,0.005,0.0179,"Dropout"
"not single","Over 23 years old","2nd choice","Basic Education","daytime","qualified",130,"Portuguese","Basic education","Basic education",140,"no","no","yes","Female","yes",34,"no",6,6,16.1428571428571,6,6,16.2,0.094,-0.008,-0.0312,"Graduate"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",135,"Portuguese","Basic education","Basic education",125.3,"yes","no","no","Female","yes",18,"no",8,7,11.7857142857143,8,7,11.7857142857143,0.127,0.037,-0.017,"Graduate"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",137,"Portuguese","Secondary education and above","Secondary education and above",126.3,"yes","no","no","Female","yes",18,"no",8,8,13.42375,8,8,13.42375,0.094,-0.008,-0.0312,"Graduate"
"single","General contingent","2nd choice","Advertising and Marketing Management","daytime","qualified",100,"Portuguese","Basic education","Basic education",100,"no","no","no","Female","no",20,"no",6,6,12.5,6,5,14.1666666666667,0.111,0.006,0.0202,"Graduate"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",127,"Portuguese","Basic education","Basic education",121.3,"yes","no","no","Female","yes",20,"no",8,7,12.4642857142857,8,7,12.4642857142857,0.108,0.014,0.0174,"Graduate"
"single","Other","2nd choice","Management (evening attendance)","evening","qualified",140,"Portuguese","Basic education","Basic education",135,"no","no","yes","Female","no",23,"no",11,8,12.375,9,5,12.6,0.089,0.014,0.0351,"Enrolled"
"single","Over 23 years old","2nd choice","Advertising and Marketing Management","daytime","qualified",140,"Portuguese","Basic education","Basic education",120,"no","no","no","Female","no",28,"no",6,1,10,6,0,0,0.108,0.014,0.0174,"Dropout"
"single","General contingent","2nd choice","Journalism and Communication","daytime","qualified",121,"Portuguese","Basic education","Basic education",113.7,"no","no","no","Female","no",18,"no",6,5,12.6,6,6,12.4285714285714,0.155,0.028,-0.0406,"Enrolled"
"single","Other","2nd choice","Management","daytime","qualified",131,"Portuguese","Basic education","Basic education",129.7,"yes","no","no","Female","no",19,"no",5,5,12.6,5,4,12.4,0.162,0.003,-0.0092,"Graduate"
"not single","General contingent","2nd choice","Management","daytime","qualified",151,"Portuguese","Basic education","Basic education",132.1,"yes","no","no","Female","no",34,"no",5,2,10,5,4,12,0.076,0.026,0.0032,"Dropout"
"not single","Other","2nd choice","Basic Education","daytime","qualified",130,"Portuguese","Basic education","Basic education",120.3,"no","no","no","Female","no",35,"no",7,0,0,6,0,0,0.089,0.014,0.0351,"Dropout"
"single","Other","2nd choice","Management (evening attendance)","evening","overqualified",120,"Portuguese","Basic education","Basic education",120,"no","no","no","Female","no",32,"no",5,5,11.6,5,5,12.3333333333333,0.124,0.005,0.0179,"Graduate"
"single","General contingent","not 2nd choice","Tourism","daytime","qualified",136,"Portuguese","Basic education","Basic education",123.1,"yes","no","no","Female","no",19,"no",6,6,12.1666666666667,6,6,13.5,0.111,0.006,0.0202,"Graduate"
"single","General contingent","not 2nd choice","Advertising and Marketing Management","daytime","qualified",125,"Portuguese","Secondary education and above","Basic education",119.4,"yes","no","no","Female","no",18,"no",6,4,13.6,6,5,12.6666666666667,0.111,0.006,0.0202,"Graduate"
"not single","Over 23 years old","2nd choice","Management","daytime","qualified",133.1,"Portuguese","Basic education","Basic education",140,"no","no","no","Female","no",35,"no",5,4,12.5,5,5,11.8,0.094,-0.008,-0.0312,"Dropout"
"single","Over 23 years old","2nd choice","Social Service (evening attendance)","evening","qualified",133.1,"Portuguese","Secondary education and above","Basic education",116.5,"no","no","no","Male","yes",24,"no",6,4,12.25,6,4,11.5,0.124,0.005,0.0179,"Enrolled"
"single","General contingent","2nd choice","Social Service","daytime","qualified",120,"Portuguese","Basic education","Basic education",113,"yes","no","no","Female","yes",20,"no",6,6,11.7142857142857,6,6,12.625,0.139,-0.003,0.0079,"Graduate"
"single","General contingent","not 2nd choice","Journalism and Communication","daytime","qualified",143,"not Portuguese","Basic education","Basic education",133.9,"yes","no","no","Male","yes",18,"yes",6,6,13.5,6,6,13,0.162,0.003,-0.0092,"Graduate"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",133.1,"Portuguese","Basic education","Basic education",115.5,"yes","no","no","Male","yes",20,"no",8,7,13.0242857142857,8,7,13.0242857142857,0.108,0.014,0.0174,"Graduate"
"single","General contingent","not 2nd choice","Tourism","daytime","qualified",121,"Portuguese","Secondary education and above","Basic education",116.5,"yes","no","no","Male","no",18,"no",6,0,0,6,0,0,0.094,-0.008,-0.0312,"Dropout"
"single","General contingent","2nd choice","Informatics Engineering","daytime","qualified",168,"Portuguese","Basic education","Basic education",171.2,"no","no","no","Male","yes",18,"no",5,5,17.3333333333333,5,5,18.5714285714286,0.124,0.005,0.0179,"Graduate"
"single","General contingent","2nd choice","Advertising and Marketing Management","daytime","qualified",124,"Portuguese","Basic education","Basic education",119.1,"no","no","no","Male","yes",20,"no",5,4,11,5,4,11.5,0.094,-0.008,-0.0312,"Graduate"
"single","General contingent","not 2nd choice","Basic Education","daytime","qualified",127,"Portuguese","Basic education","Basic education",121.1,"yes","no","no","Male","no",19,"no",7,6,13.6666666666667,7,6,12.5,0.124,0.005,0.0179,"Dropout"
"single","General contingent","not 2nd choice","Communication Design","daytime","qualified",129,"Portuguese","Secondary education and above","Secondary education and above",132.9,"yes","no","no","Male","yes",20,"no",6,6,11.375,6,5,13.8,0.076,0.026,0.0032,"Enrolled"
"single","General contingent","2nd choice","Social Service","daytime","qualified",137,"Portuguese","Basic education","Secondary education and above",132.8,"no","no","no","Male","no",19,"no",6,6,12.8333333333333,6,6,11.8333333333333,0.108,0.014,0.0174,"Graduate"
"single","General contingent","2nd choice","Journalism and Communication","daytime","qualified",120,"Portuguese","Other","Basic education",126.7,"yes","no","no","Male","no",20,"no",6,5,12.6,6,4,11.5,0.076,0.026,0.0032,"Graduate"
"single","General contingent","2nd choice","Nursing","daytime","qualified",110,"Portuguese","Basic education","Basic education",105.8,"yes","no","no","Male","no",22,"no",7,6,14.3333333333333,8,7,13.7714285714286,0.111,0.006,0.0202,"Graduate"
"single","General contingent","not 2nd choice","Informatics Engineering","daytime","qualified",120,"Portuguese","Secondary education and above","Basic education",117.2,"no","no","no","Male","yes",18,"no",5,4,13.5,6,6,13.625,0.111,0.006,0.0202,"Enrolled"
"single","General contingent","2nd choice","Nursing","daytime","qualified",143,"Portuguese","Basic education","Basic education",140,"no","no","no","Male","no",19,"no",8,7,14.2857142857143,8,7,14.2857142857143,0.127,0.037,-0.017,"Graduate"
"single","Other","2nd choice","Agronomy","daytime","overqualified",120,"Portuguese","Secondary education and above","Basic education",120,"no","no","no","Male","no",22,"no",6,3,11.75,6,2,10,0.139,-0.003,0.0079,"Dropout"
"single","General contingent","not 2nd choice","Informatics Engineering","daytime","qualified",124,"not Portuguese","Secondary education and above","Basic education",119.5,"yes","no","no","Male","no",20,"yes",5,5,14.8,5,5,17.6,0.089,0.014,0.0351,"Graduate"
"not single","Over 23 years old","2nd choice","Agronomy","daytime","qualified",168,"Portuguese","Secondary education and above","Secondary education and above",153.9,"no","no","yes","Male","no",34,"no",6,0,0,6,0,0,0.124,0.005,0.0179,"Dropout"
"not single","Over 23 years old","2nd choice","Social Service (evening attendance)","evening","underqualified",133.1,"Portuguese","Secondary education and above","Secondary education and above",130,"no","no","no","Male","no",24,"no",6,1,10,5,0,0,0.162,0.003,-0.0092,"Dropout"
"single","Over 23 years old","not 2nd choice","Advertising and Marketing Management","daytime","qualified",150,"Portuguese","Other","Other",107,"yes","no","no","Male","no",26,"no",5,0,0,5,0,0,0.076,0.026,0.0032,"Dropout"
"single","Over 23 years old","2nd choice","Nursing","daytime","qualified",140,"Portuguese","Basic education","Basic education",132.8,"no","no","no","Male","no",35,"no",7,4,12.6,7,5,12.38,0.124,0.005,0.0179,"Dropout"
"single","General contingent","2nd choice","Management (evening attendance)","evening","qualified",145,"Portuguese","Secondary education and above","Basic education",127.5,"yes","no","no","Male","no",22,"no",5,5,12.4285714285714,5,5,11.8,0.076,0.026,0.0032,"Graduate"
"single","General contingent","2nd choice","Tourism","daytime","qualified",118,"Portuguese","Basic education","Basic education",123.3,"yes","no","no","Male","no",26,"no",6,4,10,6,3,12,0.094,-0.008,-0.0312,"Enrolled"
"single","General contingent","2nd choice","Management","daytime","qualified",123,"Portuguese","Secondary education and above","Basic education",122,"no","no","no","Male","no",19,"no",5,3,12.3333333333333,5,0,0,0.089,0.014,0.0351,"Dropout"
"single","General contingent","not 2nd choice","Tourism","daytime","qualified",120,"Portuguese","Secondary education and above","Basic education",114.8,"yes","no","no","Male","no",19,"no",6,0,0,6,0,0,0.089,0.014,0.0351,"Dropout"
"single","Other","2nd choice","Animation and Multimedia Design","daytime","overqualified",140,"Portuguese","Secondary education and above","Secondary education and above",140,"no","no","yes","Male","no",20,"no",0,0,0,0,0,0,0.155,0.028,-0.0406,"Graduate"
"single","Other","2nd choice","Advertising and Marketing Management","daytime","qualified",126,"Portuguese","Secondary education and above","Secondary education and above",111,"no","no","yes","Male","no",21,"no",11,10,12.1,8,8,13.3333333333333,0.111,0.006,0.0202,"Graduate"
"single","General contingent","not 2nd choice","Journalism and Communication","daytime","qualified",137,"Portuguese","Secondary education and above","Basic education",133.2,"yes","no","no","Female","yes",19,"no",6,6,14.7142857142857,6,6,15,0.139,-0.003,0.0079,"Graduate"
"single","General contingent","not 2nd choice","Journalism and Communication","daytime","qualified",130,"Portuguese","Basic education","Basic education",123,"yes","no","no","Female","no",18,"no",6,6,12.6666666666667,6,6,12.8333333333333,0.127,0.037,-0.017,"Graduate"
"single","Other","2nd choice","Agronomy","daytime","overqualified",150,"Portuguese","Secondary education and above","Basic education",150,"no","no","no","Female","yes",23,"no",12,12,14.3846153846154,10,10,13.3,0.089,0.014,0.0351,"Graduate"
"single","General contingent","not 2nd choice","Management","daytime","qualified",147,"Portuguese","Basic education","Basic education",132.3,"yes","no","no","Female","yes",18,"no",5,5,13.4,5,5,12.2,0.127,0.037,-0.017,"Graduate"
"single","General contingent","2nd choice","Nursing","daytime","qualified",140,"Portuguese","Basic education","Basic education",126,"yes","no","no","Female","no",18,"no",8,7,13.3142857142857,8,7,13.3142857142857,0.127,0.037,-0.017,"Graduate"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",132,"Portuguese","Basic education","Basic education",119.3,"yes","no","no","Female","no",19,"no",8,7,11.9885714285714,8,7,11.9885714285714,0.108,0.014,0.0174,"Graduate"
"single","Other","2nd choice","Management","daytime","overqualified",130,"Portuguese","Secondary education and above","Basic education",133.8,"yes","no","no","Female","no",21,"no",11,11,11.5454545454545,9,8,12.8888888888889,0.089,0.014,0.0351,"Graduate"
"single","General contingent","2nd choice","Veterinary Nursing","daytime","qualified",130,"Portuguese","Basic education","Basic education",126.5,"yes","no","no","Female","yes",18,"no",6,6,16.4615384615385,6,6,13.875,0.155,0.028,-0.0406,"Graduate"
"single","General contingent","2nd choice","Journalism and Communication","daytime","qualified",151,"Portuguese","Basic education","Basic education",138.4,"yes","no","no","Female","yes",24,"no",6,6,13.6666666666667,6,6,12.8333333333333,0.108,0.014,0.0174,"Graduate"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",144,"Portuguese","Secondary education and above","Secondary education and above",129,"yes","no","no","Female","no",18,"no",7,7,12.65,8,8,13.4111111111111,0.162,0.003,-0.0092,"Dropout"
"single","General contingent","2nd choice","Advertising and Marketing Management","daytime","qualified",127,"Portuguese","Basic education","Secondary education and above",118.3,"yes","no","no","Female","no",18,"no",6,6,12.3333333333333,6,3,12,0.139,-0.003,0.0079,"Enrolled"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",131,"Portuguese","Basic education","Basic education",129.8,"yes","no","no","Female","no",20,"no",7,6,14.37,8,7,14.65,0.124,0.005,0.0179,"Graduate"
"single","General contingent","not 2nd choice","Veterinary Nursing","daytime","qualified",123,"Portuguese","Secondary education and above","Basic education",113.6,"yes","no","no","Female","no",19,"no",5,3,12,5,4,11.75,0.094,-0.008,-0.0312,"Enrolled"
"single","General contingent","not 2nd choice","Journalism and Communication","daytime","qualified",130,"Portuguese","Other","Basic education",128.3,"yes","no","no","Female","yes",18,"no",6,3,12,6,3,10.6666666666667,0.076,0.026,0.0032,"Dropout"
"single","Other","2nd choice","Tourism","daytime","qualified",130,"Portuguese","Secondary education and above","Basic education",130,"no","no","no","Female","yes",19,"no",6,4,12,6,3,11,0.108,0.014,0.0174,"Dropout"
"single","General contingent","not 2nd choice","Basic Education","daytime","qualified",131,"Portuguese","Secondary education and above","Basic education",121.9,"yes","no","no","Female","no",19,"no",6,5,12.6,6,5,11.2,0.108,0.014,0.0174,"Graduate"
"single","General contingent","not 2nd choice","Social Service","daytime","overqualified",135,"Portuguese","Secondary education and above","Basic education",129.4,"no","no","yes","Female","no",18,"no",6,6,12.1666666666667,6,6,12.3333333333333,0.108,0.014,0.0174,"Graduate"
"single","General contingent","not 2nd choice","Basic Education","daytime","qualified",123,"Portuguese","Basic education","Secondary education and above",115.3,"yes","no","no","Female","no",20,"no",7,6,13.5,7,6,14,0.111,0.006,0.0202,"Enrolled"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",145,"Portuguese","Basic education","Basic education",125.5,"yes","no","no","Female","yes",18,"no",8,8,13.76375,8,8,13.76375,0.094,-0.008,-0.0312,"Graduate"
"single","General contingent","not 2nd choice","Oral Hygiene","daytime","qualified",118,"Portuguese","Basic education","Basic education",117.8,"yes","no","no","Female","yes",19,"no",7,6,12.4,7,6,12.8,0.111,0.006,0.0202,"Graduate"
"single","General contingent","not 2nd choice","Management","daytime","qualified",125,"Portuguese","Secondary education and above","Basic education",118.7,"yes","no","no","Female","no",18,"no",5,4,10.6666666666667,5,2,12,0.139,-0.003,0.0079,"Enrolled"
